ticker,growth_rate,wacc,implied_price,upside_pct
ALLE,0.18,0.09,284.73,126.6
ALLE,0.18,0.1,244.5,94.6
ALLE,0.18,0.11,213.82,70.2
ALLE,0.18,0.12,189.65,50.9
AMAT,0.04,0.08,316.69,-27.5
AMAT,0.04,0.09,267.67,-38.7
AMAT,0.04,0.1,231.73,-46.9
AMAT,0.04,0.11,204.26,-53.2
AMAT,0.04,0.12,182.57,-58.2
AMAT,0.075,0.08,368.2,-15.7
AMAT,0.075,0.09,310.46,-28.9
AMAT,0.075,0.1,268.15,-38.6
AMAT,0.075,0.11,235.82,-46.0
AMAT,0.075,0.12,210.32,-51.8
AMAT,0.10999999999999999,0.08,426.52,-2.3
AMAT,0.10999999999999999,0.09,358.85,-17.8
AMAT,0.10999999999999999,0.1,309.29,-29.2
AMAT,0.10999999999999999,0.11,271.44,-37.8
AMAT,0.10999999999999999,0.12,241.61,-44.7
AMAT,0.145,0.08,492.32,12.8
AMAT,0.145,0.09,413.39,-5.3
AMAT,0.145,0.1,355.61,-18.6
AMAT,0.145,0.11,311.51,-28.7
AMAT,0.145,0.12,276.77,-36.6
AMAT,0.18,0.08,566.3,29.7
AMAT,0.18,0.09,474.66,8.7
AMAT,0.18,0.1,407.61,-6.6
AMAT,0.18,0.11,356.45,-18.4
AMAT,0.18,0.12,316.16,-27.6
AMD,0.04,0.08,257.82,-39.2
AMD,0.04,0.09,217.92,-48.6
AMD,0.04,0.1,188.66,-55.5
AMD,0.04,0.11,166.29,-60.8
AMD,0.04,0.12,148.64,-65.0
AMD,0.075,0.08,299.76,-29.3
AMD,0.075,0.09,252.75,-40.4
AMD,0.075,0.1,218.3,-48.5
AMD,0.075,0.11,191.98,-54.7
AMD,0.075,0.12,171.23,-59.6
AMD,0.10999999999999999,0.08,347.24,-18.1
AMD,0.10999999999999999,0.09,292.14,-31.1
AMD,0.10999999999999999,0.1,251.79,-40.6
AMD,0.10999999999999999,0.11,220.98,-47.9
AMD,0.10999999999999999,0.12,196.7,-53.6
AMD,0.145,0.08,400.8,-5.5
AMD,0.145,0.09,336.55,-20.6
AMD,0.145,0.1,289.51,-31.7
AMD,0.145,0.11,253.61,-40.2
AMD,0.145,0.12,225.32,-46.9
AMD,0.18,0.08,461.04,8.7
AMD,0.18,0.09,386.43,-8.9
AMD,0.18,0.1,331.84,-21.8
AMD,0.18,0.11,290.19,-31.6
AMD,0.18,0.12,257.39,-39.3
AME,0.04,0.08,175.37,-23.0
AME,0.04,0.09,148.22,-35.0
AME,0.04,0.1,128.32,-43.7
AME,0.04,0.11,113.11,-50.4
AME,0.04,0.12,101.1,-55.6
AME,0.075,0.08,203.89,-10.5
AME,0.075,0.09,171.92,-24.6
AME,0.075,0.1,148.49,-34.8
AME,0.075,0.11,130.59,-42.7
AME,0.075,0.12,116.47,-48.9
AME,0.10999999999999999,0.08,236.19,3.6
AME,0.10999999999999999,0.09,198.71,-12.8
AME,0.10999999999999999,0.1,171.27,-24.8
AME,0.10999999999999999,0.11,150.31,-34.0
AME,0.10999999999999999,0.12,133.79,-41.3
AME,0.145,0.08,272.62,19.6
AME,0.145,0.09,228.92,0.4
AME,0.145,0.1,196.92,-13.6
AME,0.145,0.11,172.5,-24.3
AME,0.145,0.12,153.26,-32.8
AME,0.18,0.08,313.59,37.6
AME,0.18,0.09,262.85,15.3
AME,0.18,0.1,225.71,-1.0
AME,0.18,0.11,197.39,-13.4
AME,0.18,0.12,175.08,-23.2
AMGN,0.04,0.08,466.96,43.1
AMGN,0.04,0.09,394.68,21.0
AMGN,0.04,0.1,341.69,4.7
AMGN,0.04,0.11,301.18,-7.7
AMGN,0.04,0.12,269.21,-17.5
AMGN,0.075,0.08,542.92,66.4
AMGN,0.075,0.09,457.77,40.3
AMGN,0.075,0.1,395.39,21.2
AMGN,0.075,0.11,347.72,6.6
AMGN,0.075,0.12,310.12,-5.0
AMGN,0.10999999999999999,0.08,628.91,92.7
AMGN,0.10999999999999999,0.09,529.13,62.2
AMGN,0.10999999999999999,0.1,456.05,39.8
AMGN,0.10999999999999999,0.11,400.24,22.7
AMGN,0.10999999999999999,0.12,356.25,9.2
AMGN,0.145,0.08,725.93,122.5
AMGN,0.145,0.09,609.55,86.8
AMGN,0.145,0.1,524.35,60.7
AMGN,0.145,0.11,459.32,40.8
AMGN,0.145,0.12,408.1,25.1
AMGN,0.18,0.08,835.02,155.9
AMGN,0.18,0.09,699.9,114.5
AMGN,0.18,0.1,601.02,84.2
AMGN,0.18,0.11,525.59,61.1
AMGN,0.18,0.12,466.19,42.9
AMKR,0.04,0.08,47.17,-33.0
AMKR,0.04,0.09,39.87,-43.3
AMKR,0.04,0.1,34.51,-50.9
AMKR,0.04,0.11,30.42,-56.8
AMKR,0.04,0.12,27.19,-61.3
AMKR,0.075,0.08,54.84,-22.0
AMKR,0.075,0.09,46.24,-34.3
AMKR,0.075,0.1,39.94,-43.2
AMKR,0.075,0.11,35.12,-50.1
AMKR,0.075,0.12,31.33,-55.5
AMKR,0.10999999999999999,0.08,63.53,-9.7
AMKR,0.10999999999999999,0.09,53.45,-24.0
AMKR,0.10999999999999999,0.1,46.07,-34.5
AMKR,0.10999999999999999,0.11,40.43,-42.5
AMKR,0.10999999999999999,0.12,35.99,-48.8
AMKR,0.145,0.08,73.33,4.2
AMKR,0.145,0.09,61.57,-12.5
AMKR,0.145,0.1,52.97,-24.7
AMKR,0.145,0.11,46.4,-34.0
AMKR,0.145,0.12,41.22,-41.4
AMKR,0.18,0.08,84.35,19.9
AMKR,0.18,0.09,70.7,0.5
AMKR,0.18,0.1,60.71,-13.7
AMKR,0.18,0.11,53.09,-24.5
AMKR,0.18,0.12,47.09,-33.1
AMZN,0.04,0.08,196.52,-25.6
AMZN,0.04,0.09,166.1,-37.1
AMZN,0.04,0.1,143.8,-45.6
AMZN,0.04,0.11,126.75,-52.0
AMZN,0.04,0.12,113.29,-57.1
AMZN,0.075,0.08,228.48,-13.5
AMZN,0.075,0.09,192.65,-27.1
AMZN,0.075,0.1,166.4,-37.0
AMZN,0.075,0.11,146.34,-44.6
AMZN,0.075,0.12,130.51,-50.6
AMZN,0.10999999999999999,0.08,264.67,0.2
AMZN,0.10999999999999999,0.09,222.68,-15.7
AMZN,0.10999999999999999,0.1,191.92,-27.3
AMZN,0.10999999999999999,0.11,168.44,-36.2
AMZN,0.10999999999999999,0.12,149.93,-43.2
AMZN,0.145,0.08,305.5,15.7
AMZN,0.145,0.09,256.52,-2.9
AMZN,0.145,0.1,220.67,-16.5
AMZN,0.145,0.11,193.3,-26.8
AMZN,0.145,0.12,171.74,-35.0
AMZN,0.18,0.08,351.41,33.0
AMZN,0.18,0.09,294.55,11.5
AMZN,0.18,0.1,252.94,-4.2
AMZN,0.18,0.11,221.19,-16.3
AMZN,0.18,0.12,196.19,-25.7
ANET,0.04,0.08,88.48,-37.7
ANET,0.04,0.09,74.78,-47.3
ANET,0.04,0.1,64.74,-54.4
ANET,0.04,0.11,57.07,-59.8
ANET,0.04,0.12,51.01,-64.1
ANET,0.075,0.08,102.87,-27.5
ANET,0.075,0.09,86.74,-38.9
ANET,0.075,0.1,74.91,-47.2
ANET,0.075,0.11,65.88,-53.6
ANET,0.075,0.12,58.76,-58.6
ANET,0.10999999999999999,0.08,119.16,-16.1
ANET,0.10999999999999999,0.09,100.25,-29.4
ANET,0.10999999999999999,0.1,86.41,-39.1
ANET,0.10999999999999999,0.11,75.83,-46.6
ANET,0.10999999999999999,0.12,67.5,-52.5
ANET,0.145,0.08,137.54,-3.1
ANET,0.145,0.09,115.49,-18.7
ANET,0.145,0.1,99.35,-30.0
ANET,0.145,0.11,87.03,-38.7
ANET,0.145,0.12,77.32,-45.5
ANET,0.18,0.08,158.21,11.4
ANET,0.18,0.09,132.61,-6.6
ANET,0.18,0.1,113.88,-19.8
ANET,0.18,0.11,99.58,-29.9
ANET,0.18,0.12,88.33,-37.8
AOS,0.04,0.08,83.18,48.5
AOS,0.04,0.09,70.31,25.5
AOS,0.04,0.1,60.87,8.7
AOS,0.04,0.11,53.65,-4.2
AOS,0.04,0.12,47.95,-14.4
AOS,0.075,0.08,96.71,72.7
AOS,0.075,0.09,81.54,45.6
AOS,0.075,0.1,70.43,25.7
AOS,0.075,0.11,61.94,10.6
AOS,0.075,0.12,55.24,-1.4
AOS,0.10999999999999999,0.08,112.03,100.0
AOS,0.10999999999999999,0.09,94.25,68.3
AOS,0.10999999999999999,0.1,81.24,45.0
AOS,0.10999999999999999,0.11,71.3,27.3
AOS,0.10999999999999999,0.12,63.46,13.3
AOS,0.145,0.08,129.31,130.9
AOS,0.145,0.09,108.58,93.9
AOS,0.145,0.1,93.4,66.8
AOS,0.145,0.11,81.82,46.1
AOS,0.145,0.12,72.69,29.8
AOS,0.18,0.08,148.74,165.6
AOS,0.18,0.09,124.67,122.6
AOS,0.18,0.1,107.06,91.1
AOS,0.18,0.11,93.62,67.2
AOS,0.18,0.12,83.04,48.3
APH,0.04,0.08,112.0,-10.4
APH,0.04,0.09,94.67,-24.3
APH,0.04,0.1,81.96,-34.4
APH,0.04,0.11,72.24,-42.2
APH,0.04,0.12,64.57,-48.3
APH,0.075,0.08,130.22,4.2
APH,0.075,0.09,109.8,-12.2
APH,0.075,0.1,94.84,-24.1
APH,0.075,0.11,83.4,-33.3
APH,0.075,0.12,74.39,-40.5
APH,0.10999999999999999,0.08,150.85,20.7
APH,0.10999999999999999,0.09,126.91,1.5
APH,0.10999999999999999,0.1,109.39,-12.5
APH,0.10999999999999999,0.11,96.0,-23.2
APH,0.10999999999999999,0.12,85.45,-31.6
APH,0.145,0.08,174.12,39.3
APH,0.145,0.09,146.2,17.0
APH,0.145,0.1,125.77,0.6
APH,0.145,0.11,110.17,-11.9
APH,0.145,0.12,97.88,-21.7
APH,0.18,0.08,200.28,60.2
APH,0.18,0.09,167.88,34.3
APH,0.18,0.1,144.16,15.3
APH,0.18,0.11,126.07,0.9
APH,0.18,0.12,111.82,-10.5
APLD,0.1,0.08,3.67,-91.4
APLD,0.1,0.09,3.51,-91.8
APLD,0.1,0.1,3.35,-92.1
APLD,0.1,0.11,3.2,-92.5
APLD,0.1,0.12,3.06,-92.8
APLD,0.1875,0.08,5.39,-87.3
APLD,0.1875,0.09,5.14,-87.9
APLD,0.1875,0.1,4.91,-88.5
APLD,0.1875,0.11,4.7,-89.0
APLD,0.1875,0.12,4.49,-89.4
APLD,0.275,0.08,7.69,-81.9
APLD,0.275,0.09,7.34,-82.8
APLD,0.275,0.1,7.01,-83.5
APLD,0.275,0.11,6.7,-84.3
APLD,0.275,0.12,6.41,-84.9
APLD,0.36249999999999993,0.08,10.71,-74.8
APLD,0.36249999999999993,0.09,10.23,-76.0
APLD,0.36249999999999993,0.1,9.77,-77.0
APLD,0.36249999999999993,0.11,9.34,-78.1
APLD,0.36249999999999993,0.12,8.93,-79.0
APLD,0.44999999999999996,0.08,14.62,-65.6
APLD,0.44999999999999996,0.09,13.96,-67.2
APLD,0.44999999999999996,0.1,13.34,-68.7
APLD,0.44999999999999996,0.11,12.75,-70.0
APLD,0.44999999999999996,0.12,12.19,-71.4
ARGX.BR,0.04,0.08,613.94,-11.4
ARGX.BR,0.04,0.09,518.91,-25.1
ARGX.BR,0.04,0.1,449.24,-35.2
ARGX.BR,0.04,0.11,395.97,-42.9
ARGX.BR,0.04,0.12,353.94,-48.9
ARGX.BR,0.075,0.08,713.8,3.0
ARGX.BR,0.075,0.09,601.85,-13.2
ARGX.BR,0.075,0.1,519.83,-25.0
ARGX.BR,0.075,0.11,457.16,-34.1
ARGX.BR,0.075,0.12,407.73,-41.2
ARGX.BR,0.10999999999999999,0.08,826.85,19.3
ARGX.BR,0.10999999999999999,0.09,695.66,0.4
ARGX.BR,0.10999999999999999,0.1,599.58,-13.5
ARGX.BR,0.10999999999999999,0.11,526.21,-24.1
ARGX.BR,0.10999999999999999,0.12,468.38,-32.4
ARGX.BR,0.145,0.08,954.4,37.7
ARGX.BR,0.145,0.09,801.4,15.6
ARGX.BR,0.145,0.1,689.38,-0.6
ARGX.BR,0.145,0.11,603.89,-12.9
ARGX.BR,0.145,0.12,536.54,-22.6
ARGX.BR,0.18,0.08,1097.83,58.4
ARGX.BR,0.18,0.09,920.18,32.7
ARGX.BR,0.18,0.1,790.19,14.0
ARGX.BR,0.18,0.11,691.01,-0.3
ARGX.BR,0.18,0.12,612.91,-11.6
ARM,0.04,0.08,60.77,-70.9
