ticker,composite_rank,composite_score,pct_scenario,pct_rubric,pct_risk,pct_mc,pct_dcf,valuation_rank,valuation_score,tier
ORSTED.CO,54,65.8430,69.70,93.60,20.54,69.70,69.70,91,112.8507,1
LDOS,55,65.8390,95.62,47.81,8.75,92.59,95.62,14,323.6669,1
ENEL.MI,56,65.7245,85.86,27.61,58.25,85.52,85.86,43,201.4203,1
DIOD,57,65.6755,55.56,78.79,77.10,55.56,55.56,133,72.0788,1
KLIC,58,65.4685,42.42,92.59,94.95,42.42,42.42,172,34.8563,1
SWKS,59,64.9820,82.49,52.86,33.00,81.14,82.49,53,184.3246,1
VEEV,60,64.8125,72.39,95.62,5.72,72.05,72.39,83,127.0113,1
TMO,61,64.7320,72.73,70.37,35.69,72.73,72.73,82,127.4787,1
ED,62,64.4450,71.38,77.78,28.96,71.04,71.38,86,124.2553,1
HAL,63,63.9895,77.78,14.81,87.54,77.78,77.78,67,157.4786,1
UEIC,64,63.3495,99.66,20.54,17.51,98.99,99.66,2,569.8922,1
VMI,65,62.9285,55.89,71.38,71.72,55.89,55.89,132,72.8899,1
DT,66,62.8930,69.02,91.92,9.76,69.02,69.02,93,111.9194,1
ELV,67,62.7620,81.82,43.10,33.67,83.50,81.82,55,181.6119,1
DGX,68,62.7075,73.06,68.01,27.61,73.06,73.06,81,128.4467,1
ALLE,69,62.6265,83.84,56.90,12.46,82.49,83.84,49,188.2095,1
ESTC,70,62.4425,66.67,92.26,13.80,66.33,66.67,100,100.1719,1
XRAY,71,62.3745,98.99,25.59,14.48,89.90,98.99,4,529.5593,1
CI,72,62.3415,97.64,19.87,17.85,98.32,97.64,8,373.5733,1
NRG,73,62.0545,91.92,31.65,16.16,94.28,91.92,25,247.5780,1
RMD,74,61.9885,70.37,86.20,8.42,70.71,70.37,89,118.0552,1
SLB,75,61.9195,70.71,34.68,72.05,70.37,70.71,88,118.1435,1
ROG.SW,76,61.7530,76.77,33.67,55.56,76.77,76.77,70,149.0771,1
SO,77,61.6825,59.93,88.22,33.33,59.93,59.93,120,86.5873,1
ALGN,78,61.2120,85.52,38.05,22.56,86.53,85.52,44,200.2667,1
SRPT,79,60.5240,99.33,1.01,29.97,96.97,99.33,3,541.4037,1
EDP.LS,80,60.4355,77.44,26.26,55.89,78.11,77.44,68,156.9204,1
AFX.DE,81,60.4055,80.81,58.59,6.06,81.48,80.81,58,179.1914,1
STM,82,60.2050,35.02,94.28,86.87,35.02,35.02,194,11.6761,2
HOLX,83,59.4945,74.41,28.96,56.90,74.07,74.41,77,134.7312,1
FE,84,59.4745,77.10,44.44,30.30,76.43,77.10,69,149.3477,1
