ticker,company,theme,metric_type,price,mkt_cap,current_metric,current_multiple,bull_cagr,bull_multiple,bull_price,bull_upside,base_cagr,base_multiple,base_price,base_upside,bear_cagr,bear_multiple,bear_price,bear_upside,weighted_price,weighted_upside,bull_prob,base_prob,bear_prob
CDNS,CDNS,AI infrastructure & compute,Fwd EPS,374.05,103168974848.0,9.385,39.9x,0.18,28.0,431.75594895999996,15.427335639620354,0.12,22.0,290.0754841600001,-22.450077754310904,0.04,15.0,158.3527296,-57.66535767945462,292.56491172000005,-21.784544387114014,0.25,0.5,0.25
CEG,CEG,Energy transition & grids,Fwd EPS,288.68,104268341248.0,13.59124,21.2x,0.18,28.0,625.2635827110399,116.59400814432588,0.12,22.0,420.0836998758402,45.51880971173623,0.04,15.0,229.32444887040003,-20.561019512816948,423.68885783328005,46.767652013745334,0.25,0.5,0.25
CGNX,CGNX,Industrial automation & robotics,Fwd EPS,66.7,11100177408.0,1.7618,37.9x,0.18,28.0,81.05142577279999,21.51638046896549,0.12,22.0,54.45444730880002,-18.359149462068935,0.04,15.0,29.726780928000004,-55.43211255172413,54.92177532960001,-17.65850775172413,0.25,0.5,0.25
CHKP,CHKP,Cybersecurity & digital trust,Fwd EPS,128.71,13389419520.0,11.42895,11.3x,0.18,28.0,525.7876561392,308.5056764347758,0.12,22.0,353.25074104320015,174.4547751093156,0.04,15.0,192.84021619200004,49.82535637634995,356.2823386044001,176.81014575743922,0.25,0.5,0.25
CI,CI,Health Tech,Fwd EPS,285.75,75590131712.0,33.49037,8.5x,0.18,28.0,1540.7209888515197,439.18494797953446,0.12,22.0,1035.1342879539202,262.2517193189572,0.04,15.0,565.0816733952,97.75386645501314,1044.01780953864,265.36056326811547,0.25,0.5,0.25
CMI,CMI,Industrial automation & robotics,Fwd EPS,667.85,92156002304.0,33.38968,20.0x,0.18,28.0,1536.0887558732798,130.00505440941527,0.12,22.0,1032.0221195468803,54.529028905724374,0.04,15.0,563.3827350528001,-15.642324615886793,1040.8789325049602,55.85519690124432,0.25,0.5,0.25
CNA.L,CNA.L,Energy transition & grids,Fwd EPS,194.45,8806511616.0,0.14555,1336.0x,0.18,28.0,6.6960126128,-96.55643475813834,0.12,22.0,4.498719948800002,-97.68643869951144,0.04,15.0,2.4558593280000003,-98.73702271637953,4.537327959600001,-97.6665837183852,0.25,0.5,0.25
CNC,CNC,Health Tech,Fwd EPS,58.82,29045139456.0,4.45523,13.2x,0.18,28.0,204.96239280607998,248.45697518884728,0.12,22.0,137.70410221568005,134.11102042788175,0.04,15.0,75.17291758080002,27.801627985039133,138.88587870456,136.1201610074125,0.25,0.5,0.25
COHR,COHR,AI infrastructure & compute,Fwd EPS,380.18,74378158080.0,8.09568,47.0x,0.18,28.0,372.44091644927994,-2.0356366854437535,0.12,22.0,250.22464524288006,-34.18258581648691,0.04,15.0,136.5980848128,-64.07015497585353,252.37207293696002,-33.61774082356778,0.25,0.5,0.25
COHU,COHU,Quantum / frontier compute,Fwd EPS,54.94,2591813632.0,1.45714,37.7x,0.18,28.0,67.03557415744,22.015970435820886,0.12,22.0,45.03788929024001,-18.023499653731324,0.04,15.0,24.586264934400006,-55.248880716417894,45.42440441808,-17.319977397014917,0.25,0.5,0.25
COLO-B.CO,COLO-B.CO,Health Tech,Fwd EPS,396.9,89448079360.0,26.28252,15.1x,0.18,28.0,1209.1245992179201,204.64212628317466,0.12,22.0,812.3510616883202,104.67398883555563,0.04,15.0,443.46390865920006,11.731899385034028,819.3226578134402,106.43050083482999,0.25,0.5,0.25
COP,COP,Energy transition & grids,Fwd EPS,115.13,140262178816.0,9.15392,12.6x,0.18,28.0,421.12513759231996,265.78227880858157,0.12,22.0,282.9331673907201,145.75103569071493,0.04,15.0,154.45372600320002,34.15593329557893,285.36129959424005,147.8600708713976,0.25,0.5,0.25
