ticker,beta,volatility,max_drawdown,return_1y,sharpe,spy_correlation
SRT3.DE,-0.01,0.4531,-0.3726,0.0986,0.12,-0.0
SSE.L,0.15,0.2577,-0.2729,0.3798,1.3,0.1
STM,1.89,0.5171,-0.602,1.703,3.21,0.61
STMN.SW,-0.08,0.3126,-0.4488,-0.1515,-0.63,-0.04
SU.PA,0.02,0.3258,-0.3134,0.2266,0.56,0.01
SWK,1.42,0.4095,-0.4831,0.2386,0.47,0.58
SWKS,1.59,0.465,-0.582,0.1485,0.22,0.57
SYK,0.63,0.2205,-0.2945,-0.1951,-1.09,0.48
TDOC,1.39,0.5907,-0.6881,-0.0692,-0.19,0.39
TDY,0.8,0.238,-0.1839,0.2375,0.81,0.56
TECH,1.12,0.4288,-0.4694,-0.0063,-0.12,0.44
TENB,0.93,0.3842,-0.6598,-0.2493,-0.77,0.4
TER,2.11,0.5991,-0.5818,3.6096,5.95,0.59
TMO,0.79,0.2879,-0.3728,0.1347,0.31,0.46
TRGP,0.82,0.3163,-0.3161,0.6702,1.98,0.43
TRMB,1.32,0.317,-0.3599,-0.2369,-0.89,0.69
TSAT,1.34,0.7846,-0.3953,2.5373,3.18,0.28
TSM,1.64,0.414,-0.3682,1.1649,2.71,0.66
TT,1.0,0.2786,-0.2444,0.0563,0.04,0.6
TTMI,1.87,0.607,-0.3424,5.4026,8.83,0.51
TXN,1.31,0.39,-0.3341,0.781,1.89,0.56
TXT,0.95,0.2688,-0.3537,0.2369,0.71,0.59
UCB.BR,0.21,0.3368,-0.3427,0.5245,1.42,0.1
UEC,1.58,0.7271,-0.5349,1.0426,1.37,0.36
UEIC,0.92,0.6082,-0.7771,-0.4049,-0.74,0.25
UNH,0.31,0.424,-0.6139,0.3384,0.69,0.12
URG,1.3,0.6942,-0.6889,0.7527,1.02,0.31
UUUU,1.45,0.8084,-0.5281,2.367,2.87,0.3
VEEV,0.63,0.3605,-0.5055,-0.3342,-1.05,0.29
VLO,0.65,0.3649,-0.3452,0.8858,2.3,0.3
VMI,1.01,0.3394,-0.2985,0.6419,1.76,0.5
VPG,1.71,0.6024,-0.4407,3.7356,6.13,0.47
VRT,2.37,0.6614,-0.6128,1.9163,2.83,0.6
VRTX,0.51,0.313,-0.2907,-0.0197,-0.21,0.27
VSAT,1.96,0.9146,-0.7211,8.2508,8.97,0.36
VSH,2.04,0.5387,-0.5578,2.4684,4.5,0.63
VST,1.93,0.6319,-0.488,-0.0176,-0.1,0.51
VWS.CO,0.05,0.4812,-0.5882,0.5902,1.13,0.02
WAB,1.09,0.2588,-0.2355,0.2897,0.95,0.7
WDAY,0.86,0.3831,-0.5981,-0.4797,-1.37,0.37
WEC,0.05,0.1626,-0.1122,0.0873,0.26,0.05
WMB,0.53,0.2468,-0.1236,0.278,0.94,0.36
WSO,0.91,0.3163,-0.4162,-0.1463,-0.6,0.48
WTRG,-0.1,0.2163,-0.1794,-0.0101,-0.25,-0.07
WWD,1.18,0.3526,-0.1931,0.6461,1.7,0.56
XEL,0.13,0.1957,-0.1238,0.197,0.78,0.11
XFAB.PA,0.02,0.5356,-0.5044,1.1237,2.01,0.01
XRAY,1.07,0.4586,-0.628,-0.3647,-0.89,0.39
XYL,0.89,0.2495,-0.3004,-0.1172,-0.65,0.59
YSN.DE,-0.28,0.5205,-0.374,0.0098,-0.07,-0.09
ZBH,0.34,0.2854,-0.3032,-0.1145,-0.56,0.2
ZBRA,1.54,0.4072,-0.5267,-0.1441,-0.46,0.63
ZS,1.27,0.5143,-0.6489,-0.5087,-1.08,0.41
