ticker,year,revenue,net_income,free_cash_flow,gross_margin_pct,operating_margin_pct,total_debt,stockholders_equity,roe_pct,as_of
VWS.CO,2025,18822000000.0,778000000.0,1008000000.0,13.266390394219531,5.66889809797046,3374000000.0,3867000000.0,20.12,2026-05-28T08:25:35Z
VWS.CO,2024,17295000000.0,499000000.0,1177000000.0,11.893610870193697,4.272911246024862,3271000000.0,3529000000.0,14.14,2026-05-28T08:25:35Z
VWS.CO,2023,15382000000.0,77000000.0,135000000.0,8.340917956052529,0.23403978676374984,3387000000.0,3027000000.0,2.54,2026-05-28T08:25:35Z
VWS.CO,2022,14486000000.0,-1572000000.0,-1014000000.0,0.8145795940908463,-7.952505867734364,2427000000.0,3044000000.0,-51.64,2026-05-28T08:25:35Z
CI,2025,274876000000.0,5957000000.0,8389000000.0,,,31463000000.0,41713000000.0,14.28,2026-05-28T08:25:36Z
CI,2024,246148000000.0,3434000000.0,8957000000.0,10.152834879828395,3.4304564733412417,31972000000.0,41033000000.0,8.37,2026-05-28T08:25:36Z
CI,2023,4852475000000.0,25820000000.0,10240000000.0,12.37049134719911,-1.8258723641028547,30930000000.0,46223000000.0,55.86,2026-05-28T08:25:36Z
CI,2022,179363000000.0,6704000000.0,7361000000.0,12.457976282733897,4.067171044195291,31093000000.0,44675000000.0,15.01,2026-05-28T08:25:36Z
CI,2021,,,,,,,,,2026-05-28T08:25:36Z
CVS,2025,402067000000.0,1768000000.0,7807000000.0,13.769346899894794,2.582902849525079,79950000000.0,75214000000.0,2.35,2026-05-28T08:25:37Z
CVS,2024,372809000000.0,4614000000.0,6326000000.0,13.787489035940656,2.600527347783986,82920000000.0,75560000000.0,6.11,2026-05-28T08:25:37Z
CVS,2023,357776000000.0,8344000000.0,10395000000.0,15.213709136442914,4.080486114216717,79385000000.0,76461000000.0,10.91,2026-05-28T08:25:37Z
CVS,2022,322467000000.0,4311000000.0,13450000000.0,16.90157442466981,5.051679706760692,70732000000.0,71469000000.0,6.03,2026-05-28T08:25:37Z
CVS,2021,,,,,,,,,2026-05-28T08:25:37Z
PFE,2025,62579000000.0,7771000000.0,9075000000.0,74.32525288035923,25.23849853784816,63961000000.0,86476000000.0,8.99,2026-05-28T08:25:38Z
PFE,2024,63627000000.0,8031000000.0,9835000000.0,71.9443003756267,23.307715278105206,63649000000.0,88203000000.0,9.11,2026-05-28T08:25:38Z
PFE,2023,59554000000.0,2119000000.0,4793000000.0,58.09853242435437,7.091043422775968,70845000000.0,89014000000.0,2.38,2026-05-28T08:25:38Z
PFE,2022,101175000000.0,31372000000.0,26031000000.0,66.05485544848035,36.732394366197184,34859000000.0,95661000000.0,32.79,2026-05-28T08:25:38Z
PFE,2021,,,,,,,,,2026-05-28T08:25:38Z
REGN,2025,14342900000.0,4504900000.0,3765200000.0,85.35372902272205,25.81067984856619,2705900000.0,31256900000.0,14.41,2026-05-28T08:25:39Z
